flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
30932,13780,7,141,4,1,1,0,0.03571752831339836,5.5078125,5.546875,0.6744897365570068,0.6387722082436085
30933,13781,7,141,5,0,0,0,-0.46806687116622925,5.5078125,5.546875,-0.6744897365570068,0.2064228653907776
30934,13782,7,141,6,0,0,0,-1.2871454954147339,5.5078125,5.546875,-0.6744897365570068,0.612655758857727
30935,13783,7,141,7,0,0,0,-0.8956931233406067,5.5078125,5.546875,-0.6744897365570068,0.22120338678359985
30936,13784,7,141,8,1,1,0,0.6530143022537231,5.5078125,5.546875,0.6744897365570068,0.02147543430328369
30937,13785,7,141,9,0,0,0,-1.0303171873092651,5.5078125,5.546875,-0.6744897365570068,0.3558274507522583
30938,13786,7,141,10,0,0,0,-1.3111004829406738,5.5078125,5.546875,-0.6744897365570068,0.636610746383667
30939,13787,7,141,11,1,1,0,0.21922333538532257,5.5078125,5.546875,0.6744897365570068,0.45526640117168427
30940,13788,7,141,12,1,1,0,0.36353999376296997,5.5078125,5.546875,0.6744897365570068,0.31094974279403687
30941,13789,7,141,13,1,1,0,0.6860571503639221,5.5078125,5.546875,0.6744897365570068,0.011567413806915283
30942,13790,7,141,14,0,0,0,-0.995140790939331,5.5078125,5.546875,-0.6744897365570068,0.3206510543823242
30943,13791,7,141,15,0,0,0,-0.31426307559013367,5.5078125,5.546875,-0.6744897365570068,0.36022666096687317
30944,13792,7,142,0,0,0,0,-0.3899640440940857,5.546875,5.5859375,-0.6744897365570068,0.28452569246292114
30945,13793,7,142,1,1,1,0,0.7896668314933777,5.546875,5.5859375,0.6744897365570068,0.11517709493637085
30946,13794,7,142,2,0,0,0,-0.744134783744812,5.546875,5.5859375,-0.6744897365570068,0.06964504718780518
30947,13795,7,142,3,1,1,0,1.050186276435852,5.546875,5.5859375,0.6744897365570068,0.3756965398788452
30948,13796,7,142,4,1,1,0,0.6755023002624512,5.546875,5.5859375,0.6744897365570068,0.001012563705444336
30949,13797,7,142,5,0,0,0,-0.6708316206932068,5.546875,5.5859375,-0.6744897365570068,0.003658115863800049
30950,13798,7,142,6,0,0,0,-0.813517153263092,5.546875,5.5859375,-0.6744897365570068,0.1390274167060852
30951,13799,7,142,7,0,0,0,-0.6508474349975586,5.546875,5.5859375,-0.6744897365570068,0.023642301559448242
30952,13800,7,142,8,0,0,0,-1.2311182022094727,5.546875,5.5859375,-0.6744897365570068,0.5566284656524658
30953,13801,7,142,9,0,0,0,-0.7505454421043396,5.546875,5.5859375,-0.6744897365570068,0.07605570554733276
30954,13802,7,142,10,0,0,0,-1.0688886642456055,5.546875,5.5859375,-0.6744897365570068,0.39439892768859863
30955,13803,7,142,11,0,0,0,-0.6196844577789307,5.546875,5.5859375,-0.6744897365570068,0.05480527877807617
30956,13804,7,142,12,1,1,0,0.6160531640052795,5.546875,5.5859375,0.6744897365570068,0.058436572551727295
30957,13805,7,142,13,1,1,0,0.2374054491519928,5.546875,5.5859375,0.6744897365570068,0.43708428740501404
