flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
18305,4801,4,120,1,1,0,1,-0.04192425683140755,4.6875,4.7265625,0.6744897365570068,0.7164139933884144
18328,4824,4,121,8,1,0,1,-0.25824084877967834,4.7265625,4.765625,0.6744897365570068,0.9327305853366852
18337,4833,4,122,1,1,0,1,-0.02885153517127037,4.765625,4.8046875,0.6744897365570068,0.7033412717282772
18354,4850,4,123,2,1,0,1,-0.7106531858444214,4.8046875,4.84375,0.6744897365570068,1.3851429224014282
18355,4851,4,123,3,1,0,1,-0.044592294842004776,4.8046875,4.84375,0.6744897365570068,0.7190820313990116
18369,4865,4,124,1,1,0,1,-0.19755586981773376,4.84375,4.8828125,0.6744897365570068,0.8720456063747406
18373,4869,4,124,5,1,0,1,-0.04260186851024628,4.84375,4.8828125,0.6744897365570068,0.7170916050672531
18388,4884,4,125,4,0,1,1,0.048665016889572144,4.8828125,4.921875,-0.6744897365570068,0.723154753446579
18389,4885,4,125,5,0,1,1,0.027182653546333313,4.8828125,4.921875,-0.6744897365570068,0.7016723901033401
18402,4898,4,126,2,1,0,1,-0.3568098247051239,4.921875,4.9609375,0.6744897365570068,1.0312995612621307
18415,4911,4,126,15,1,0,1,-0.0018384875729680061,4.921875,4.9609375,0.6744897365570068,0.6763282241299748
18417,4913,4,127,1,1,0,1,-0.2861696779727936,4.9609375,5.0,0.6744897365570068,0.9606594145298004
18432,4928,4,128,0,0,1,1,0.16460879147052765,5.0,5.0390625,-0.6744897365570068,0.8390985280275345
18434,4930,4,128,2,1,0,1,-0.33905473351478577,5.0,5.0390625,0.6744897365570068,1.0135444700717926
18449,4945,4,129,1,1,0,1,-0.31191012263298035,5.0390625,5.078125,0.6744897365570068,0.9863998591899872
18450,4946,4,129,2,1,0,1,-0.2861799895763397,5.0390625,5.078125,0.6744897365570068,0.9606697261333466
18458,4954,4,129,10,1,0,1,-0.0749349519610405,5.0390625,5.078125,0.6744897365570068,0.7494246885180473
18465,4961,4,130,1,1,0,1,-0.0955016016960144,5.078125,5.1171875,0.6744897365570068,0.7699913382530212
18476,4972,4,130,12,1,0,1,-0.07603412866592407,5.078125,5.1171875,0.6744897365570068,0.7505238652229309
18491,4987,4,131,11,1,0,1,-0.13739678263664246,5.1171875,5.15625,0.6744897365570068,0.8118865191936493
18508,5004,4,132,12,1,0,1,-0.0995713397860527,5.15625,5.1953125,0.6744897365570068,0.7740610763430595
18513,5009,4,133,1,1,0,1,-0.28683561086654663,5.1953125,5.234375,0.6744897365570068,0.9613253474235535
18531,5027,4,134,3,1,0,1,-0.4292134642601013,5.234375,5.2734375,0.6744897365570068,1.1037032008171082
18547,5043,4,135,3,1,0,1,-1.6035406589508057,5.2734375,5.3125,0.6744897365570068,2.2780303955078125
18548,5044,4,135,4,1,0,1,-1.7583922147750854,5.2734375,5.3125,0.6744897365570068,2.4328819513320923
18549,5045,4,135,5,1,0,1,-1.30771803855896,5.2734375,5.3125,0.6744897365570068,1.9822077751159668
18551,5047,4,135,7,1,0,1,-1.2086734771728516,5.2734375,5.3125,0.6744897365570068,1.8831632137298584
18558,5054,4,135,14,0,1,1,0.9541848301887512,5.2734375,5.3125,-0.6744897365570068,1.628674566745758
18702,5198,4,144,14,1,0,1,-0.1722223162651062,5.625,5.6640625,0.6744897365570068,0.846712052822113
18706,5202,4,145,2,1,0,1,-0.0933399423956871,5.6640625,5.703125,0.6744897365570068,0.7678296789526939
18718,5214,4,145,14,1,0,1,-0.1119808554649353,5.6640625,5.703125,0.6744897365570068,0.7864705920219421
18732,5228,4,146,12,1,0,1,-0.0798218622803688,5.703125,5.7421875,0.6744897365570068,0.7543115988373756
18733,5229,4,146,13,1,0,1,-0.009659874252974987,5.703125,5.7421875,0.6744897365570068,0.6841496108099818
18771,5267,4,149,3,1,0,1,-0.10996053367853165,5.8203125,5.859375,0.6744897365570068,0.7844502702355385
18847,5343,4,153,15,0,1,1,0.3292621374130249,5.9765625,6.015625,-0.6744897365570068,1.0037518739700317
18880,5376,4,156,0,1,0,1,-0.11969467252492905,6.09375,6.1328125,0.6744897365570068,0.7941844090819359
18927,5423,4,158,15,1,0,1,-0.056036364287137985,6.171875,6.2109375,0.6744897365570068,0.7305261008441448
18939,5435,4,159,11,1,0,1,-0.10988850146532059,6.2109375,6.25,0.6744897365570068,0.7843782380223274
18977,5473,4,162,1,1,0,1,-0.3555337190628052,6.328125,6.3671875,0.6744897365570068,1.030023455619812
18984,5480,4,162,8,1,0,1,-0.1611405611038208,6.328125,6.3671875,0.6744897365570068,0.8356302976608276
18994,5490,4,163,2,1,0,1,-0.26539236307144165,6.3671875,6.40625,0.6744897365570068,0.9398820996284485
18997,5493,4,163,5,1,0,1,-0.4011026620864868,6.3671875,6.40625,0.6744897365570068,1.0755923986434937
19012,5508,4,164,4,1,0,1,-0.27325189113616943,6.40625,6.4453125,0.6744897365570068,0.9477416276931763
19014,5510,4,164,6,1,0,1,-0.12153513729572296,6.40625,6.4453125,0.6744897365570068,0.7960248738527298
19025,5521,4,165,1,1,0,1,-0.2069542109966278,6.4453125,6.484375,0.6744897365570068,0.8814439475536346
19041,5537,4,166,1,1,0,1,-0.3584916293621063,6.484375,6.5234375,0.6744897365570068,1.0329813659191132
19054,5550,4,166,14,0,1,1,0.18816284835338593,6.484375,6.5234375,-0.6744897365570068,0.8626525849103928
19057,5553,4,167,1,1,0,1,-0.11367596685886383,6.5234375,6.5625,0.6744897365570068,0.7881657034158707
19058,5554,4,167,2,1,0,1,-0.409111887216568,6.5234375,6.5625,0.6744897365570068,1.0836016237735748
19180,5676,4,174,12,1,0,1,-0.07886850833892822,6.796875,6.8359375,0.6744897365570068,0.7533582448959351
19201,5697,4,176,1,1,0,1,-0.10509753227233887,6.875,6.9140625,0.6744897365570068,0.7795872688293457
19214,5710,4,176,14,0,1,1,0.02729572355747223,6.875,6.9140625,-0.6744897365570068,0.7017854601144791
19235,5731,4,178,3,1,0,1,-0.1658952385187149,6.953125,6.9921875,0.6744897365570068,0.8403849750757217
19239,5735,4,178,7,1,0,1,-0.004334742669016123,6.953125,6.9921875,0.6744897365570068,0.678824479226023
19240,5736,4,178,8,1,0,1,-0.1847294121980667,6.953125,6.9921875,0.6744897365570068,0.8592191487550735
19254,5750,4,179,6,1,0,1,-0.4355013966560364,6.9921875,7.03125,0.6744897365570068,1.1099911332130432
20489,5769,5,0,9,1,0,1,-0.3205861449241638,0.0,0.0390625,0.6744897365570068,0.9950758814811707
20492,5772,5,0,12,1,0,1,-0.03445886820554733,0.0,0.0390625,0.6744897365570068,0.7089486047625542
20493,5773,5,0,13,1,0,1,-0.3936891257762909,0.0,0.0390625,0.6744897365570068,1.0681788623332977
20494,5774,5,0,14,1,0,1,-0.2712976038455963,0.0,0.0390625,0.6744897365570068,0.9457873404026031
20500,5780,5,1,4,1,0,1,-0.19803914427757263,0.0390625,0.078125,0.6744897365570068,0.8725288808345795
20512,5792,5,2,0,1,0,1,-0.09937400370836258,0.078125,0.1171875,0.6744897365570068,0.7738637402653694
20528,5808,5,3,0,1,0,1,-0.9064309000968933,0.1171875,0.15625,0.6744897365570068,1.5809206366539001
20535,5815,5,3,7,1,0,1,-0.01630665734410286,0.1171875,0.15625,0.6744897365570068,0.6907963939011097
