channel,time_start,time_end,freq_start,freq_end,total,errors,ber
6,112,128,0,4,64,13,0.203125
6,128,144,0,4,64,13,0.203125
7,176,192,0,4,64,13,0.203125
0,32,48,8,12,64,12,0.1875
0,96,112,8,12,64,12,0.1875
0,112,128,8,12,64,12,0.1875
0,160,176,8,12,64,12,0.1875
1,176,192,0,4,64,12,0.1875
5,48,64,0,4,64,12,0.1875
5,112,128,0,4,64,12,0.1875
5,128,144,0,4,64,12,0.1875
5,144,160,0,4,64,12,0.1875
5,144,160,4,8,64,12,0.1875
5,160,176,4,8,64,12,0.1875
5,176,192,0,4,64,12,0.1875
6,176,192,0,4,64,12,0.1875
7,0,16,4,8,64,12,0.1875
7,16,32,4,8,64,12,0.1875
0,16,32,12,16,64,11,0.171875
0,64,80,0,4,64,11,0.171875
0,80,96,0,4,64,11,0.171875
0,128,144,8,12,64,11,0.171875
1,32,48,0,4,64,11,0.171875
3,0,16,0,4,64,11,0.171875
3,16,32,0,4,64,11,0.171875
3,48,64,0,4,64,11,0.171875
4,48,64,0,4,64,11,0.171875
5,64,80,0,4,64,11,0.171875
5,80,96,8,12,64,11,0.171875
5,80,96,12,16,64,11,0.171875
5,96,112,4,8,64,11,0.171875
5,160,176,0,4,64,11,0.171875
0,144,160,0,4,64,10,0.15625
3,176,192,0,4,64,10,0.15625
4,80,96,0,4,64,10,0.15625
5,0,16,4,8,64,10,0.15625
5,80,96,4,8,64,10,0.15625
6,160,176,0,4,64,10,0.15625
0,0,16,4,8,64,9,0.140625
0,0,16,8,12,64,9,0.140625
0,128,144,0,4,64,9,0.140625
0,160,176,0,4,64,9,0.140625
0,176,192,4,8,64,9,0.140625
3,128,144,0,4,64,9,0.140625
5,0,16,8,12,64,9,0.140625
5,16,32,4,8,64,9,0.140625
5,32,48,0,4,64,9,0.140625
5,176,192,4,8,64,9,0.140625
6,96,112,12,16,64,9,0.140625
6,176,192,4,8,64,9,0.140625
7,32,48,0,4,64,9,0.140625
0,16,32,4,8,64,8,0.125
0,48,64,0,4,64,8,0.125
0,48,64,4,8,64,8,0.125
3,16,32,4,8,64,8,0.125
4,80,96,12,16,64,8,0.125
4,96,112,0,4,64,8,0.125
4,128,144,12,16,64,8,0.125
5,32,48,12,16,64,8,0.125
5,64,80,4,8,64,8,0.125
5,96,112,8,12,64,8,0.125
5,112,128,12,16,64,8,0.125
7,16,32,0,4,64,8,0.125
7,32,48,4,8,64,8,0.125
7,112,128,0,4,64,8,0.125
7,160,176,4,8,64,8,0.125
0,16,32,0,4,64,7,0.109375
0,16,32,8,12,64,7,0.109375
4,112,128,0,4,64,7,0.109375
