flat_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
3125,0,195,5,1,0,1,-0.5281493067741394,0.6744897365570068,1.2026390433311462
3126,0,195,6,1,0,1,-0.7168144583702087,0.6744897365570068,1.3913041949272156
3129,0,195,9,1,0,1,-0.3824380338191986,0.6744897365570068,1.0569277703762054
3135,0,195,15,1,0,1,-0.29910269379615784,0.6744897365570068,0.9735924303531647
3136,0,196,0,1,0,1,-0.7039831280708313,0.6744897365570068,1.3784728646278381
3140,0,196,4,1,0,1,-0.9306595921516418,0.6744897365570068,1.6051493287086487
3141,0,196,5,1,0,1,-0.5278666615486145,0.6744897365570068,1.2023563981056213
3143,0,196,7,1,0,1,-1.2198859453201294,0.6744897365570068,1.8943756818771362
3144,0,196,8,1,0,1,-0.7438057661056519,0.6744897365570068,1.4182955026626587
3145,0,196,9,1,0,1,-1.1951669454574585,0.6744897365570068,1.8696566820144653
3146,0,196,10,1,0,1,-0.33574631810188293,0.6744897365570068,1.0102360546588898
3149,0,196,13,1,0,1,-0.8145967721939087,0.6744897365570068,1.4890865087509155
3150,0,196,14,1,0,1,-0.5064831972122192,0.6744897365570068,1.180972933769226
3151,0,196,15,1,0,1,-0.05412176996469498,0.6744897365570068,0.7286115065217018
3152,0,197,0,1,0,1,-2.294715166091919,0.6744897365570068,2.969204902648926
3155,0,197,3,1,0,1,-1.5666567087173462,0.6744897365570068,2.241146445274353
3157,0,197,5,1,0,1,-1.0215250253677368,0.6744897365570068,1.6960147619247437
3158,0,197,6,1,0,1,-1.5501614809036255,0.6744897365570068,2.2246512174606323
3160,0,197,8,1,0,1,-1.7272303104400635,0.6744897365570068,2.4017200469970703
3161,0,197,9,1,0,1,-1.0515453815460205,0.6744897365570068,1.7260351181030273
3162,0,197,10,1,0,1,-0.8639913201332092,0.6744897365570068,1.538481056690216
3163,0,197,11,1,0,1,-0.16560956835746765,0.6744897365570068,0.8400993049144745
3164,0,197,12,1,0,1,-1.2792916297912598,0.6744897365570068,1.9537813663482666
3165,0,197,13,1,0,1,-0.7824673056602478,0.6744897365570068,1.4569570422172546
3166,0,197,14,1,0,1,-1.4353293180465698,0.6744897365570068,2.1098190546035767
3167,0,197,15,1,0,1,-1.156070590019226,0.6744897365570068,1.830560326576233
3168,0,198,0,1,0,1,-1.5318787097930908,0.6744897365570068,2.2063684463500977
3169,0,198,1,1,0,1,-0.6654607653617859,0.6744897365570068,1.3399505019187927
3170,0,198,2,1,0,1,-1.6985363960266113,0.6744897365570068,2.373026132583618
3171,0,198,3,1,0,1,-0.6158400774002075,0.6744897365570068,1.2903298139572144
3178,0,198,10,1,0,1,-0.8368673920631409,0.6744897365570068,1.5113571286201477
3180,0,198,12,1,0,1,-1.6705296039581299,0.6744897365570068,2.3450193405151367
3181,0,198,13,1,0,1,-1.7620735168457031,0.6744897365570068,2.43656325340271
3182,0,198,14,1,0,1,-1.4566562175750732,0.6744897365570068,2.13114595413208
3185,0,199,1,1,0,1,-1.2685412168502808,0.6744897365570068,1.9430309534072876
3186,0,199,2,1,0,1,-1.4763001203536987,0.6744897365570068,2.1507898569107056
3187,0,199,3,1,0,1,-1.7587031126022339,0.6744897365570068,2.4331928491592407
3190,0,199,6,1,0,1,-0.774978518486023,0.6744897365570068,1.4494682550430298
3191,0,199,7,1,0,1,-1.9538241624832153,0.6744897365570068,2.628313899040222
3194,0,199,10,1,0,1,-2.0775063037872314,0.6744897365570068,2.7519960403442383
3196,0,199,12,1,0,1,-2.2664997577667236,0.6744897365570068,2.9409894943237305
3198,0,199,14,1,0,1,-1.5925369262695312,0.6744897365570068,2.267026662826538
3199,0,199,15,1,0,1,-0.35464218258857727,0.6744897365570068,1.029131919145584
3200,0,200,0,1,0,1,-1.7342450618743896,0.6744897365570068,2.4087347984313965
3202,0,200,2,1,0,1,-1.94193434715271,0.6744897365570068,2.616424083709717
3205,0,200,5,1,0,1,-1.7527060508728027,0.6744897365570068,2.4271957874298096
3206,0,200,6,1,0,1,-1.5336183309555054,0.6744897365570068,2.208108067512512
3207,0,200,7,1,0,1,-1.6232922077178955,0.6744897365570068,2.2977819442749023
3208,0,200,8,1,0,1,-2.367337226867676,0.6744897365570068,3.0418269634246826
3209,0,200,9,1,0,1,-2.1045517921447754,0.6744897365570068,2.7790415287017822
3210,0,200,10,1,0,1,-1.9545156955718994,0.6744897365570068,2.6290054321289062
3211,0,200,11,1,0,1,-1.625475287437439,0.6744897365570068,2.299965023994446
3212,0,200,12,1,0,1,-2.147862434387207,0.6744897365570068,2.822352170944214
3213,0,200,13,1,0,1,-2.5885515213012695,0.6744897365570068,3.2630412578582764
3214,0,200,14,1,0,1,-1.2582039833068848,0.6744897365570068,1.9326937198638916
3216,0,201,0,1,0,1,-1.0548287630081177,0.6744897365570068,1.7293184995651245
3217,0,201,1,1,0,1,-1.1721831560134888,0.6744897365570068,1.8466728925704956
3218,0,201,2,1,0,1,-2.3182122707366943,0.6744897365570068,2.992702007293701
3222,0,201,6,1,0,1,-1.6788359880447388,0.6744897365570068,2.3533257246017456
3224,0,201,8,1,0,1,-2.3581175804138184,0.6744897365570068,3.032607316970825
3226,0,201,10,1,0,1,-1.4555820226669312,0.6744897365570068,2.130071759223938
3239,0,202,7,1,0,1,-2.3798532485961914,0.6744897365570068,3.0543429851531982
3241,0,202,9,1,0,1,-1.928748607635498,0.6744897365570068,2.603238344192505
3244,0,202,12,1,0,1,-1.3451510667800903,0.6744897365570068,2.019640803337097
3245,0,202,13,1,0,1,-0.7770137786865234,0.6744897365570068,1.4515035152435303
3251,0,203,3,1,0,1,-0.8602687120437622,0.6744897365570068,1.534758448600769
3252,0,203,4,1,0,1,-1.1278550624847412,0.6744897365570068,1.802344799041748
3253,0,203,5,1,0,1,-0.8590335845947266,0.6744897365570068,1.5335233211517334
3256,0,203,8,1,0,1,-2.545828104019165,0.6744897365570068,3.220317840576172
3260,0,203,12,1,0,1,-1.9759469032287598,0.6744897365570068,2.6504366397857666
3261,0,203,13,1,0,1,-1.3321479558944702,0.6744897365570068,2.006637692451477
3264,0,204,0,1,0,1,-1.4921691417694092,0.6744897365570068,2.166658878326416
3265,0,204,1,1,0,1,-1.8685818910598755,0.6744897365570068,2.5430716276168823
3266,0,204,2,1,0,1,-2.0365312099456787,0.6744897365570068,2.7110209465026855
3267,0,204,3,1,0,1,-1.7367935180664062,0.6744897365570068,2.411283254623413
3269,0,204,5,1,0,1,-1.6719995737075806,0.6744897365570068,2.3464893102645874
3270,0,204,6,1,0,1,-1.4669021368026733,0.6744897365570068,2.14139187335968
3272,0,204,8,1,0,1,-1.9305707216262817,0.6744897365570068,2.6050604581832886
3273,0,204,9,1,0,1,-1.1121469736099243,0.6744897365570068,1.7866367101669312
3279,0,204,15,1,0,1,-1.0636439323425293,0.6744897365570068,1.7381336688995361
3280,0,205,0,1,0,1,-0.9545741081237793,0.6744897365570068,1.6290638446807861
3282,0,205,2,1,0,1,-1.077795147895813,0.6744897365570068,1.7522848844528198
3285,0,205,5,1,0,1,-1.9914767742156982,0.6744897365570068,2.665966510772705
3287,0,205,7,1,0,1,-1.5761677026748657,0.6744897365570068,2.2506574392318726
3290,0,205,10,1,0,1,-1.7505794763565063,0.6744897365570068,2.425069212913513
3291,0,205,11,1,0,1,-1.7416120767593384,0.6744897365570068,2.416101813316345
3294,0,205,14,1,0,1,-1.527716875076294,0.6744897365570068,2.202206611633301
3298,0,206,2,1,0,1,-1.379389762878418,0.6744897365570068,2.053879499435425
3299,0,206,3,1,0,1,-1.7718541622161865,0.6744897365570068,2.4463438987731934
3301,0,206,5,1,0,1,-1.6900473833084106,0.6744897365570068,2.3645371198654175
3302,0,206,6,1,0,1,-0.9795757532119751,0.6744897365570068,1.654065489768982
3303,0,206,7,1,0,1,-1.6853419542312622,0.6744897365570068,2.359831690788269
3305,0,206,9,1,0,1,-2.4257164001464844,0.6744897365570068,3.100206136703491
3309,0,206,13,1,0,1,-0.7306025624275208,0.6744897365570068,1.4050922989845276
3310,0,206,14,1,0,1,-1.6587355136871338,0.6744897365570068,2.3332252502441406
3312,0,207,0,1,0,1,-0.722852885723114,0.6744897365570068,1.3973426222801208
3313,0,207,1,1,0,1,-1.004942774772644,0.6744897365570068,1.6794325113296509
3314,0,207,2,1,0,1,-1.5856177806854248,0.6744897365570068,2.2601075172424316
3315,0,207,3,1,0,1,-0.6306914687156677,0.6744897365570068,1.3051812052726746
3318,0,207,6,1,0,1,-1.7975386381149292,0.6744897365570068,2.472028374671936
3319,0,207,7,1,0,1,-1.1462551355361938,0.6744897365570068,1.8207448720932007
