flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
20311,8023,4,245,7,1,0,1,-0.02259676344692707,0.6744897365570068,0.6970865000039339
20312,8024,4,245,8,0,0,0,-0.28317710757255554,-0.6744897365570068,0.3913126289844513
20313,8025,4,245,9,1,0,1,-0.15488524734973907,0.6744897365570068,0.8293749839067459
20314,8026,4,245,10,0,0,0,-0.6086209416389465,-0.6744897365570068,0.0658687949180603
20315,8027,4,245,11,0,1,1,1.0045427083969116,-0.6744897365570068,1.6790324449539185
20316,8028,4,245,12,1,0,1,-0.7117915153503418,0.6744897365570068,1.3862812519073486
20317,8029,4,245,13,1,0,1,-0.3394124209880829,0.6744897365570068,1.0139021575450897
20318,8030,4,245,14,1,1,0,0.8576615452766418,0.6744897365570068,0.183171808719635
20319,8031,4,245,15,0,0,0,-0.6168338060379028,-0.6744897365570068,0.057655930519104004
20320,8032,4,246,0,0,1,1,0.3750275671482086,-0.6744897365570068,1.0495173037052155
20321,8033,4,246,1,0,1,1,0.0740874633193016,-0.6744897365570068,0.7485771998763084
20322,8034,4,246,2,1,0,1,-0.24495047330856323,0.6744897365570068,0.9194402098655701
20323,8035,4,246,3,1,1,0,0.4163527488708496,0.6744897365570068,0.2581369876861572
20324,8036,4,246,4,0,0,0,-0.09873907268047333,-0.6744897365570068,0.5757506638765335
20325,8037,4,246,5,0,0,0,-0.08615559339523315,-0.6744897365570068,0.5883341431617737
20326,8038,4,246,6,0,0,0,-0.03765909746289253,-0.6744897365570068,0.6368306390941143
20327,8039,4,246,7,0,1,1,0.4243807792663574,-0.6744897365570068,1.0988705158233643
20328,8040,4,246,8,0,0,0,-0.0714455172419548,-0.6744897365570068,0.603044219315052
20329,8041,4,246,9,1,1,0,0.7955073714256287,0.6744897365570068,0.12101763486862183
20330,8042,4,246,10,0,1,1,0.6149181127548218,-0.6744897365570068,1.2894078493118286
20331,8043,4,246,11,1,0,1,-0.003572602290660143,0.6744897365570068,0.678062338847667
20332,8044,4,246,12,0,1,1,0.6825605630874634,-0.6744897365570068,1.3570502996444702
20333,8045,4,246,13,1,1,0,0.33076032996177673,0.6744897365570068,0.3437294065952301
20334,8046,4,246,14,0,0,0,-0.1367286890745163,-0.6744897365570068,0.5377610474824905
20335,8047,4,246,15,0,0,0,-0.0996892973780632,-0.6744897365570068,0.5748004391789436
20336,8048,4,247,0,0,1,1,0.4366054832935333,-0.6744897365570068,1.1110952198505402
20337,8049,4,247,1,1,1,0,0.3514696955680847,0.6744897365570068,0.3230200409889221
20338,8050,4,247,2,1,0,1,-0.7279040813446045,0.6744897365570068,1.4023938179016113
20339,8051,4,247,3,1,1,0,0.15322397649288177,0.6744897365570068,0.5212657600641251
20340,8052,4,247,4,1,1,0,0.9012590050697327,0.6744897365570068,0.22676926851272583
20341,8053,4,247,5,0,1,1,0.2549811601638794,-0.6744897365570068,0.9294708967208862
20342,8054,4,247,6,1,0,1,-0.2941058278083801,0.6744897365570068,0.968595564365387
20343,8055,4,247,7,0,1,1,0.07869944721460342,-0.6744897365570068,0.7531891837716103
20344,8056,4,247,8,0,1,1,0.734644889831543,-0.6744897365570068,1.4091346263885498
20345,8057,4,247,9,0,0,0,-0.29960280656814575,-0.6744897365570068,0.3748869299888611
20346,8058,4,247,10,0,1,1,0.6325680017471313,-0.6744897365570068,1.3070577383041382
20347,8059,4,247,11,0,1,1,0.6892316937446594,-0.6744897365570068,1.3637214303016663
20348,8060,4,247,12,0,1,1,0.8063556551933289,-0.6744897365570068,1.4808453917503357
20349,8061,4,247,13,1,1,0,0.17303527891635895,0.6744897365570068,0.5014544576406479
20350,8062,4,247,14,0,1,1,0.531987190246582,-0.6744897365570068,1.2064769268035889
20351,8063,4,247,15,0,1,1,1.2667886018753052,-0.6744897365570068,1.941278338432312
20352,8064,4,248,0,0,0,0,-0.4480821490287781,-0.6744897365570068,0.22640758752822876
20353,8065,4,248,1,0,0,0,-0.7934112548828125,-0.6744897365570068,0.11892151832580566
20354,8066,4,248,2,0,0,0,-0.3769519329071045,-0.6744897365570068,0.29753780364990234
20355,8067,4,248,3,1,1,0,0.9547849893569946,0.6744897365570068,0.2802952527999878
20356,8068,4,248,4,1,1,0,0.21350374817848206,0.6744897365570068,0.4609859883785248
20357,8069,4,248,5,1,0,1,-0.6958115696907043,0.6744897365570068,1.3703013062477112
20358,8070,4,248,6,1,1,0,0.6007038354873657,0.6744897365570068,0.07378590106964111
20359,8071,4,248,7,0,1,1,0.005742691457271576,-0.6744897365570068,0.6802324280142784
20360,8072,4,248,8,1,1,0,1.2491495609283447,0.6744897365570068,0.5746598243713379
20361,8073,4,248,9,1,1,0,0.2990722358226776,0.6744897365570068,0.3754175007343292
20362,8074,4,248,10,0,0,0,-0.5319219827651978,-0.6744897365570068,0.14256775379180908
20363,8075,4,248,11,1,1,0,0.3170657157897949,0.6744897365570068,0.3574240207672119
20364,8076,4,248,12,1,1,0,0.13462817668914795,0.6744897365570068,0.5398615598678589
20365,8077,4,248,13,1,1,0,1.0382181406021118,0.6744897365570068,0.363728404045105
20366,8078,4,248,14,1,1,0,0.12310148030519485,0.6744897365570068,0.551388256251812
20367,8079,4,248,15,1,1,0,0.13758541643619537,0.6744897365570068,0.5369043201208115
20368,8080,4,249,0,1,1,0,0.13983812928199768,0.6744897365570068,0.5346516072750092
20369,8081,4,249,1,1,1,0,0.255181223154068,0.6744897365570068,0.41930851340293884
20370,8082,4,249,2,0,0,0,-0.9417753219604492,-0.6744897365570068,0.2672855854034424
20371,8083,4,249,3,0,0,0,-0.052986714988946915,-0.6744897365570068,0.6215030215680599
20372,8084,4,249,4,0,1,1,0.2598823606967926,-0.6744897365570068,0.9343720972537994
20373,8085,4,249,5,0,1,1,1.053650140762329,-0.6744897365570068,1.728139877319336
20374,8086,4,249,6,0,1,1,0.26754289865493774,-0.6744897365570068,0.9420326352119446
20375,8087,4,249,7,0,0,0,-0.575817346572876,-0.6744897365570068,0.09867238998413086
20376,8088,4,249,8,0,1,1,0.26463785767555237,-0.6744897365570068,0.9391275942325592
20377,8089,4,249,9,1,1,0,0.2796414792537689,0.6744897365570068,0.3948482573032379
20378,8090,4,249,10,1,1,0,0.8447170853614807,0.6744897365570068,0.17022734880447388
20379,8091,4,249,11,1,1,0,1.1337347030639648,0.6744897365570068,0.459244966506958
20380,8092,4,249,12,1,0,1,-0.36950448155403137,0.6744897365570068,1.0439942181110382
20381,8093,4,249,13,0,1,1,0.24734888970851898,-0.6744897365570068,0.9218386262655258
20382,8094,4,249,14,0,0,0,-5.8709836594061926e-05,-0.6744897365570068,0.6744310267204128
20383,8095,4,249,15,0,1,1,0.08702319860458374,-0.6744897365570068,0.7615129351615906
20384,8096,4,250,0,0,1,1,0.5144177675247192,-0.6744897365570068,1.188907504081726
20385,8097,4,250,1,0,1,1,0.36881953477859497,-0.6744897365570068,1.0433092713356018
20386,8098,4,250,2,0,0,0,-0.4298495054244995,-0.6744897365570068,0.24464023113250732
20387,8099,4,250,3,0,1,1,0.4952957332134247,-0.6744897365570068,1.1697854697704315
20388,8100,4,250,4,0,0,0,-0.007377869449555874,-0.6744897365570068,0.667111867107451
20389,8101,4,250,5,1,0,1,-0.6541624069213867,0.6744897365570068,1.3286521434783936
20390,8102,4,250,6,0,1,1,0.8076820969581604,-0.6744897365570068,1.4821718335151672
20391,8103,4,250,7,1,0,1,-0.7627494931221008,0.6744897365570068,1.4372392296791077
20392,8104,4,250,8,1,0,1,-0.06390456855297089,0.6744897365570068,0.7383943051099777
20393,8105,4,250,9,1,1,0,0.6097864508628845,0.6744897365570068,0.06470328569412231
20394,8106,4,250,10,0,0,0,-0.7526731491088867,-0.6744897365570068,0.07818341255187988
20395,8107,4,250,11,0,1,1,0.2608325779438019,-0.6744897365570068,0.9353223145008087
20396,8108,4,250,12,0,1,1,0.22941412031650543,-0.6744897365570068,0.9039038568735123
20397,8109,4,250,13,1,1,0,0.48149457573890686,0.6744897365570068,0.19299516081809998
20398,8110,4,250,14,1,0,1,-0.5520311594009399,0.6744897365570068,1.2265208959579468
20399,8111,4,250,15,1,0,1,-0.4228912889957428,0.6744897365570068,1.0973810255527496
20400,8112,4,251,0,0,1,1,0.3334957957267761,-0.6744897365570068,1.007985532283783
20401,8113,4,251,1,1,1,0,0.22192099690437317,0.6744897365570068,0.45256873965263367
20402,8114,4,251,2,1,0,1,-0.3667885959148407,0.6744897365570068,1.0412783324718475
20403,8115,4,251,3,1,0,1,-0.40593501925468445,0.6744897365570068,1.0804247558116913
20404,8116,4,251,4,1,0,1,-0.18742354214191437,0.6744897365570068,0.8619132786989212
20405,8117,4,251,5,0,0,0,-0.15029717981815338,-0.6744897365570068,0.5241925567388535
